Name;Location;Author;about;Year;Style Tags;Interesting Fact;Designer Note;Clue / Hint;Latitude;Longitude;Route;IMG
Owl Saint George;280 Bloor St W (Saint George Hotel);birdO;A towering, geometric owl that serves as a landmark for the Annex and a tribute to the neighborhood’s wisdom.;2018;Geometric, Fauna, Monumental;"The mural covers nearly the entire side of the hotel and was inspired by the ""wisdom"" of the Annex neighborhood.";"A masterclass in ""large-scale grid design""; birdO uses high-contrast geometric blocks to create organic curves that are visible from blocks away.";Find the wise bird watching Bloor!;43.6675;-79.3995;Street Art;https://res.cloudinary.com/dx3ccwjnz/image/upload/q_auto/f_auto/v1773983671/murals-6_xijzsy.jpg
Blanco Cantina Mural;Bloor & Dalton St;Unknown (Retail Wrap);A high-impact digital vinyl wrap featuring vibrant, prismatic mariachi-themed art.;2025;Digital, Prismatic, Mariachi;This mural is actually a high-quality vinyl wrap, which sparked a local debate about the difference between hand-painted art and digital printing.;"The design uses vibrant ""Day of the Dead"" iconography to create a high-impact commercial brand touchpoint in a historic area.";Mariachis playing on the corner!;43.6668;-79.4045;Street Art;https://res.cloudinary.com/dx3ccwjnz/image/upload/q_auto/f_auto/v1773993504/bianco_ub8han.jpg
Rise of the Pollinator;435 Bloor St W (at Howland);Nick Sweetman;A massive mural highlighting urban biodiversity through macro-scale depictions of bees and flowers.;2016;Ecological, Macro, Vivid;At 65 feet wide, this mural features a giant bumblebee and flowers to raise awareness for urban biodiversity.;"Sweetman uses ""macro-perspective"" to turn a tiny insect into a monumental hero, forcing a change in the viewer's scale perception.";Spot the giant bee near Howland!;43.6661;-79.4074;Street Art;https://res.cloudinary.com/dx3ccwjnz/image/upload/q_auto/f_auto/v1773983672/murals-8_xg4ui4.jpg
City of the Future;Bloor & Spadina (West side);Talie Shalmon;A futuristic line-art vision of Toronto’s potential urban evolution in a century's time.;2019;Futuristic, Retro, Line-Art;This mural was commissioned to imagine what Toronto might look like in 100 years, featuring elevated transit and greenery.;"The ""isometric"" design style makes the flat wall feel like a three-dimensional blueprint or a scene from a classic video game.";Find the Toronto of tomorrow!;43.6667;-79.4052;Street Art;https://res.cloudinary.com/dx3ccwjnz/image/upload/q_auto/f_auto/v1776442204/city-of-the-future-1_nrwalu.jpg
Lee’s Palace;529 Bloor St W;Al Runt (Alex Currie);Iconic club with a psychedelic facade that serves as a landmark for the Annex neighborhood.;1985;Cartoonish, Psychedelic, Iconic;"The mural has been repainted three times by the original artist to maintain its vibrant, ""dancing monster"" energy.";"A legendary example of ""horror vacui"" design—where every square inch of the surface is filled with detail to create a sense of chaos and energy.";Monsters dancing on a purple wall!;43.6648;-79.4132;Street Art;https://res.cloudinary.com/dx3ccwjnz/image/upload/q_auto/f_auto/v1773978510/lees-palace_ryexry.jpg
Gallanough Block;351-361 Bloor St W;Various artists (StART);A historic Edwardian commercial block in the Annex with a rhythmic and balanced industrial facade.;2021;Historic, Archival, Sepia;"This series of murals depicts the history of the Annex, including the ""Spadina Expressway"" protests that saved the neighborhood.";"Uses a ""split-panel"" layout similar to a graphic novel to guide the viewer through a chronological narrative of the city.";History lessons painted on brick!;43.6666;-79.4025;Street Art;https://res.cloudinary.com/dx3ccwjnz/image/upload/q_auto/f_auto/v1773983673/murals-11_rfbtvy.jpg
Barbara Barrett Lane;Behind 444 Bloor St W;Elicser Elliott;A lane-way mural project that brings hidden artistic life to the narrow alleys of the Annex.;2023;Souful, Figurative, Urban;"This lane is named after a local community advocate and features Elicser's signature ""expressive characters.""";"Elicser’s use of soft, blended spray-paint gradients creates a ""human"" feel that contrasts beautifully with the rough alley textures.";Faces hidden in the quiet lane!;43.6658;-79.4062;Street Art;https://res.cloudinary.com/dx3ccwjnz/image/upload/q_auto/f_auto/v1776443452/Barbara-Barrett-Lane-1_rhm7we.jpg
Annex Wall;Bloor & Walmer Rd;Daniela Rocha;A community-focused mural that captures the unique, eclectic spirit of the Annex neighborhood.;2021;Botanical, Folk, Earthy;The artist (Planta Muisca) incorporates Colombian-inspired patterns with Canadian flora to symbolize multicultural growth.;"The ""organic flow"" of the vines is designed to mimic the natural movement of pedestrians walking toward the subway station.";Flowers blooming near the subway!;43.6671;-79.4039;Street Art;https://res.cloudinary.com/dx3ccwjnz/image/upload/q_auto/f_auto/v1773983669/murals-7_ropa2t.jpg
Massey Hall Mural;178 Victoria St (Back wall);Various Artists;A celebratory mural depicting legendary musicians who have shaped Toronto's iconic concert history.;2021;Musical, Heritage, Vibrant;Created during the hall's massive renovation to celebrate the legendary musicians who have performed on its stage.;"The design uses ""rhythmic composition""—the placement of the portraits mimics the peaks and valleys of a musical score.";Spot the legends of the stage!;43.6542;-79.3789;Street Art;https://res.cloudinary.com/dx3ccwjnz/image/upload/q_auto/f_auto/v1773983671/murals-5_n2qjpm.jpg
Old York Lane Mural;Old York Lane (Yorkville);Various Artists;High-fashion, chic murals tucked into a Yorkville alleyway as part of a public art project.;2022;High-Fashion, Chic, Modern;"Part of the ""Yorkville Murals"" festival, which aims to turn the luxury district into a public art playground.";"The ""minimalist"" color palette (lots of black, white, and gold) matches the high-end retail environment of the Village.";Chic art in the narrow lane!;43.6712;-79.3918;Street Art;https://res.cloudinary.com/dx3ccwjnz/image/upload/q_auto/f_auto/v1776443214/yorkville-mural-1_wlwjxv.jpg
The Band of Storytellers (Blues Mural);423 Yonge St;Adrian Hayles;A massive, multi-storey tribute to the musical legends who defined the Yonge Street sound, from jazz to blues.;2017;Monochromatic, Portraiture, Musical;The mural features legendary artists like Ronnie Hawkins and Glenn Gould, towering 22 storeys above the street.;"A study in 'monumental rhythm'; the verticality of the tower is used to stack the history of Toronto's music scene like a skyscraper of sound.";Look for the giant blue faces of music legends!;43.6582;-79.3813;Street Art;https://res.cloudinary.com/dx3ccwjnz/image/upload/q_auto/f_auto/v1776443691/blues-1_rllsyp.jpg
794 Bathurst;794 Bathurst St;Various / Jarvis;A vibrant, large-scale community mural that captures the eclectic, artistic spirit of the Annex and Mirvish Village.;2021;Community, Abstract, Colorful;This wall has been a rotating canvas for years, often used to express the local struggle between heritage and development.;"An example of 'visual activism'; the colors and shapes are designed to reclaim the street corner from construction noise.";Find the colorful abstract wall near the park!;43.6654;-79.4114;Street Art;https://res.cloudinary.com/dx3ccwjnz/image/upload/q_auto/f_auto/v1776443453/794-bathurst-1_uwmeyb.jpg
History of Music on Yonge;423 Yonge St (Edward St side);Adrian Hayles;The second half of the massive musical tribute, focusing on the jazz and R&B roots of the iconic 'Yonge Street Strip.';2018;Blue, Figurative, Nostalgic;Hayles used archival photographs from the 1950s and 60s to ensure the portraits were historically accurate.;The 'Blue Tone' creates a unified visual language that turns a generic brick building into a specialized historical archive.;Spot the blue jazz legends on the corner!;43.6585;-79.381;Street Art;https://res.cloudinary.com/dx3ccwjnz/image/upload/q_auto/f_auto/v1776443693/yonge-music-2_r26wbu.jpg
Sassafraz Facade;100 Cumberland St;Local Artists;Rotating art and floral installations that refresh the historic yellow facade of a Yorkville landmark.;Seasonal;Floral, Temporary, Seasonal;"While the building is a historic yellow house, the facade often features rotating art installations or intricate floral ""wraps.""";"A study in ""adaptive reuse""; the art works with the Victorian architecture rather than covering it up, creating a ""living"" brand.";Find the iconic little yellow house!;43.6703;-79.3923;Street Art;https://res.cloudinary.com/dx3ccwjnz/image/upload/q_auto/f_auto/v1776443214/sassafraz-2_vn9rib.jpg
